Make_Model,Total_Accidents,Total_Fatalities,Fatal_Accidents,Avg_Fatalities_Per_Accident,Proportion_Fatal
AERO COMMANDER 680FL,11,10.0,8,0.9090909090909091,0.7272727272727273
CESSNA 310H,13,23.0,9,1.7692307692307692,0.6923076923076923
PIPER PA25,36,24.0,24,0.6666666666666666,0.6666666666666666
MITSUBISHI MU-2B-60,31,61.0,20,1.967741935483871,0.6451612903225806
PIPER PA-60-601P,25,34.0,16,1.36,0.64
CIRRUS SR-22,11,15.0,7,1.3636363636363635,0.6363636363636364
ROBINSON R44 - II,11,14.0,7,1.2727272727272727,0.6363636363636364
NORTH AMERICAN F-51D,10,7.0,6,0.7,0.6
PIPER PA-31P,29,33.0,17,1.1379310344827587,0.5862068965517241
YAKOVLEV YAK 52,19,18.0,11,0.9473684210526315,0.5789473684210527
CESSNA 320D,16,31.0,9,1.9375,0.5625
EUROCOPTER AS350,11,21.0,6,1.9090909090909092,0.5454545454545454
NORTH AMERICAN T-28C,11,7.0,6,0.6363636363636364,0.5454545454545454
SOCATA TB-20,11,6.0,6,0.5454545454545454,0.5454545454545454
CESSNA 210H,11,17.0,6,1.5454545454545454,0.5454545454545454
SMITH AEROSTAR 601P,11,10.0,6,0.9090909090909091,0.5454545454545454
RANS S12,11,9.0,6,0.8181818181818182,0.5454545454545454
ROBINSON R66,35,39.0,19,1.1142857142857143,0.5428571428571428
BEECH A45,13,11.0,7,0.8461538461538461,0.5384615384615384
ISRAEL AIRCRAFT INDUSTRIES 1124A,13,33.0,7,2.5384615384615383,0.5384615384615384
